technique,mitigation_count,mitigation_names,has_defence
Windows Permissions,2,Privileged Account Management | Restrict File and Directory Permissions,True
Cloud Account,5,Audit | Multi-factor Authentication | Network Segmentation | Privileged Account Management | User Account Management,True
Mark-of-the-Web Bypass,2,Disable or Remove Feature or Program | Execution Prevention,True
Network Devices,1,Pre-compromise,True
Disable or Modify Cloud Log,1,User Account Management,True
Install Digital Certificate,1,Pre-compromise,True
Data from Cloud Storage,6,Audit | Encrypt Sensitive Information | Filter Network Traffic | Multi-factor Authentication | Restrict File and Directory Permissions | User Account Management,True
Supply Chain Compromise,6,Application Developer Guidance | Boot Integrity | Limit Software Installation | Update Software | User Account Management | Vulnerability Scanning,True
Application Window Discovery,0,,False
Additional Email Delegate Permissions,3,Disable or Remove Feature or Program | Multi-factor Authentication | Privileged Account Management,True
Remote Data Staging,0,,False
Malicious Copy and Paste,3,Execution Prevention | Network Intrusion Prevention | Restrict Web-Based Content,True
SSH Authorized Keys,3,Disable or Remove Feature or Program | Restrict File and Directory Permissions | User Account Management,True
System Shutdown/Reboot,0,,False
Process Doppelgänging,1,Behavior Prevention on Endpoint,True
Email Addresses,1,Pre-compromise,True
DCSync,3,Active Directory Configuration | Password Policies | Privileged Account Management,True
Domain Controller Authentication,4,Multi-factor Authentication | Privileged Account Management | Privileged Process Integrity | User Training,True
COR_PROFILER,3,Execution Prevention | Restrict Registry Permissions | User Account Management,True
Search Threat Vendor Data,1,Pre-compromise,True
Exfiltration Over Web Service,2,Data Loss Prevention | Restrict Web-Based Content,True
User Execution,6,Behavior Prevention on Endpoint | Execution Prevention | Limit Software Installation | Network Intrusion Prevention | Restrict Web-Based Content | User Training,True
Email Account,0,,False
Archive Collected Data,1,Audit,True
Communication Through Removable Media,2,Disable or Remove Feature or Program | Operating System Configuration,True
Protocol or Service Impersonation,1,Network Intrusion Prevention,True
File Transfer Protocols,2,Filter Network Traffic | Network Intrusion Prevention,True
Purchase Technical Data,1,Pre-compromise,True
Token Impersonation/Theft,2,Privileged Account Management | User Account Management,True
Change Default File Association,0,,False
Hidden Users,1,Operating System Configuration,True
Additional Cloud Roles,3,Multi-factor Authentication | Privileged Account Management | User Account Management,True
Mutual Exclusion,1,Do Not Mitigate,True
Artificial Intelligence,1,Pre-compromise,True
Keychain,1,Password Policies,True
Dynamic Linker Hijacking,2,Execution Prevention | Operating System Configuration,True
Indicator Removal from Tools,0,,False
AutoHotKey & AutoIT,1,Execution Prevention,True
Cloud Services,2,Multi-factor Authentication | Privileged Account Management,True
Group Policy Discovery,0,,False
Upload Tool,1,Pre-compromise,True
Exfiltration Over Alternative Protocol,6,Data Loss Prevention | Filter Network Traffic | Network Intrusion Prevention | Network Segmentation | Restrict File and Directory Permissions | User Account Management,True
Password Managers,5,Password Policies | Software Configuration | Update Software | User Account Management | User Training,True
Cloud Service Discovery,0,,False
HTML Smuggling,1,Application Isolation and Sandboxing,True
Email Bombing,2,Software Configuration | User Training,True
Junk Data,1,Network Intrusion Prevention,True
Log Enumeration,1,User Account Management,True
Hypervisor CLI,0,,False
Input Injection,2,Execution Prevention | Limit Hardware Installation,True
Device Registration,1,Multi-factor Authentication,True
Wi-Fi Networks,3,Encrypt Sensitive Information | Multi-factor Authentication | Network Segmentation,True
ARP Cache Poisoning,6,Disable or Remove Feature or Program | Encrypt Sensitive Information | Filter Network Traffic | Limit Access to Resource Over Network | Network Intrusion Prevention | User Training,True
Credentials in Registry,3,Audit | Password Policies | Privileged Account Management,True
RDP Hijacking,7,Audit | Disable or Remove Feature or Program | Limit Access to Resource Over Network | Network Segmentation | Operating System Configuration | Privileged Account Management | User Account Management,True
Fileless Storage,1,Audit,True
