APT_Group,Technique,Year
menuPass,Encrypted/Encoded File,2018
Leviathan,Ingress Tool Transfer,2018
Blue Mockingbird,SMB/Windows Admin Shares,2020
Tropic Trooper,Network Service Discovery,2019
Sowbug,Keylogging,2018
BackdoorDiplomacy,Local Data Staging,2021
Gamaredon Group,File Deletion,2020
APT37,Process Discovery,2018
Magic Hound,Scheduled Task,2022
INC Ransom,Disable or Modify Tools,2024
Indrik Spider,PowerShell,2021
LAPSUS$,External Remote Services,2022
Storm-1811,Ingress Tool Transfer,2025
Cinnamon Tempest,Exfiltration to Cloud Storage,2023
FIN13,Windows Remote Management,2023
FIN6,Non-Application Layer Protocol,2020
GOLD SOUTHFIELD,Compromise Software Supply Chain,2020
Ke3chang,LSA Secrets,2020
Leviathan,Deobfuscate/Decode Files or Information,2018
Akira,Disable or Modify Tools,2024
Kimsuky,Registry Run Keys / Startup Folder,2019
Magic Hound,Domains,2021
Threat Group-3390,System Owner/User Discovery,2022
Rocke,Rootkit,2020
APT19,Modify Registry,2018
Fox Kitten,Web Shell,2020
Volt Typhoon,Gather Victim Org Information,2024
FIN7,Malicious Link,2021
TA2541,Upload Malware,2023
APT28,Multi-hop Proxy,2021
Wizard Spider,Data from Local System,2023
Sandworm Team,Deobfuscate/Decode Files or Information,2020
FIN7,Replication Through Removable Media,2022
APT19,PowerShell,2018
Volt Typhoon,Query Registry,2023
Carbanak,Disable or Modify System Firewall,2017
FIN6,Password Cracking,2020
Sandworm Team,Credentials from Web Browsers,2020
menuPass,Network Service Discovery,2017
Storm-1811,Spearphishing Link,2025
Evilnum,Remote Desktop Software,2021
HAFNIUM,System Owner/User Discovery,2023
Turla,Domain Account,2020
Windshift,Malicious Link,2020
APT42,System Information Discovery,2025
APT39,Clipboard Data,2020
Lazarus Group,Keylogging,2017
Gamaredon Group,Ingress Tool Transfer,2017
Magic Hound,Registry Run Keys / Startup Folder,2018
Cinnamon Tempest,Windows Command Shell,2024
Aquatic Panda,Security Software Discovery,2022
APT39,Web Protocols,2020
Sea Turtle,DNS Server,2024
menuPass,Keylogging,2019
Blue Mockingbird,Service Execution,2020
Magic Hound,Data Encrypted for Impact,2023
Medusa Group,Disable or Modify Tools,2025
APT41,Clear Command History,2019
Machete,Python,2019
Leafminer,LSA Secrets,2020
Chimera,Process Discovery,2021
Tonto Team,Exploitation for Privilege Escalation,2021
APT38,Space after Filename,2025
BackdoorDiplomacy,Malware,2021
Naikon,DLL,2020
LAPSUS$,Gather Victim Identity Information,2022
Threat Group-3390,External Remote Services,2017
BlackByte,Internal Defacement,2024
BRONZE BUTLER,Pass the Ticket,2018
Tropic Trooper,Native API,2020
Moonstone Sleet,System Information Discovery,2024
Sandworm Team,Match Legitimate Resource Name or Location,2020
FIN6,NTDS,2020
Kimsuky,Disable or Modify System Firewall,2020
