APT_Group,Technique,Year
Leviathan,Windows Management Instrumentation Event Subscription,2018
menuPass,Valid Accounts,2017
Volt Typhoon,Search Open Websites/Domains,2024
Earth Lusca,SSH Authorized Keys,2022
Gallmaker,Malicious File,2019
MirrorFace,Data from Local System,2026
APT38,System Shutdown/Reboot,2019
Kimsuky,LSASS Memory,2020
Leafminer,Process Doppelgänging,2020
Lotus Blossom,Query Registry,2025
GALLIUM,Tool,2021
APT33,PowerShell,2019
Tropic Trooper,System Network Connections Discovery,2020
MirrorFace,Spearphishing Link,2026
Moses Staff,SMB/Windows Admin Shares,2022
Dragonfly,PowerShell,2021
Threat Group-1314,Domain Accounts,2017
Sandworm Team,Command Obfuscation,2023
DarkHydrus,Template Injection,2018
admin@338,System Service Discovery,2017
Moonstone Sleet,Email Addresses,2024
Leafminer,Command Obfuscation,2018
Silent Librarian,Valid Accounts,2021
APT33,Network Sniffing,2019
Magic Hound,IP Addresses,2023
Mustang Panda,Malicious File,2021
Gallmaker,Obfuscated Files or Information,2019
Mustang Panda,Spearphishing Link,2023
Kimsuky,System Time Discovery,2026
LAPSUS$,DCSync,2022
Machete,Visual Basic,2020
Thrip,Remote Desktop Software,2018
BRONZE BUTLER,Data from Network Shared Drive,2018
APT-C-36,Malicious Link,2026
WIRTE,Web Protocols,2019
MuddyWater,Exfiltration Over C2 Channel,2020
LazyScripter,Windows Command Shell,2021
HAFNIUM,Windows Command Shell,2023
MirrorFace,File Deletion,2026
APT5,File and Directory Discovery,2024
Chimera,Domain Controller Authentication,2020
BRONZE BUTLER,Right-to-Left Override,2020
FIN6,Automated Collection,2017
Sidewinder,PowerShell,2021
Akira,Remote Access Tools,2024
APT41,Accessibility Features,2019
Blue Mockingbird,COR_PROFILER,2020
Kimsuky,Windows Command Shell,2022
HAFNIUM,File and Directory Discovery,2023
Wizard Spider,Winlogon Helper DLL,2020
Threat Group-3390,Disable or Modify Windows Event Log,2017
Machete,Spearphishing Link,2019
BRONZE BUTLER,Data from Local System,2018
APT41,Credentials from Password Stores,2024
Gamaredon Group,Taint Shared Content,2020
FIN6,Tool,2021
HEXANE,Remote Desktop Protocol,2022
UNC3886,Windows Command Shell,2025
Transparent Tribe,Spearphishing Link,2021
Lazarus Group,Local Data Staging,2017
INC Ransom,Data Encrypted for Impact,2024
Contagious Interview,Search Threat Vendor Data,2025
Salt Typhoon,SSH Authorized Keys,2025
TA551,Masquerading,2021
Storm-0501,Group Policy Modification,2025
APT29,Ingress Tool Transfer,2021
Axiom,Exploitation for Client Execution,2022
Chimera,File and Directory Discovery,2021
Gamaredon Group,Data from Network Shared Drive,2020
Tropic Trooper,Dynamic-link Library Injection,2019
OilRig,Supply Chain Compromise,2024
Magic Hound,Exfiltration Over Web Service,2023
Thrip,PowerShell,2018
menuPass,System Network Connections Discovery,2017
Volt Typhoon,External Remote Services,2024
APT1,System Network Configuration Discovery,2019
Salt Typhoon,Protocol Tunneling,2025
Tonto Team,Exploitation of Remote Services,2021
INC Ransom,File Deletion,2024
APT38,Drive-by Compromise,2019
VOID MANTICORE,Cloud Accounts,2026
Patchwork,Windows Command Shell,2017
Mustang Panda,Windows Command Shell,2021
Carbanak,Windows Service,2017
MuddyWater,Exploitation for Client Execution,2020
Lotus Blossom,Modify Registry,2025
MirrorFace,Domain Account,2026
APT37,Bidirectional Communication,2018
Darkhotel,Taint Shared Content,2017
Molerats,Msiexec,2020
APT28,Deobfuscate/Decode Files or Information,2018
Carbanak,Remote Access Tools,2018
ToddyCat,Remote System Discovery,2024
Chimera,Tool,2021
APT28,Pass the Hash,2017
LAPSUS$,User Execution,2022
Sandworm Team,Databases,2024
Volt Typhoon,Internal Proxy,2023
Magic Hound,System Information Discovery,2018
Volt Typhoon,Tool,2023
Indrik Spider,Remote Desktop Protocol,2024
Volt Typhoon,Match Legitimate Resource Name or Location,2023
Magic Hound,Email Account,2022
Aquatic Panda,Rundll32,2024
APT32,Windows Command Shell,2019
Cleaver,LSASS Memory,2017
APT32,Archive Collected Data,2019
BackdoorDiplomacy,System Network Connections Discovery,2021
PROMETHIUM,Drive-by Compromise,2020
APT28,Mail Protocols,2017
OilRig,Spearphishing Attachment,2018
Elderwood,Malicious Link,2020
TA2541,Match Legitimate Resource Name or Location,2023
Lazarus Group,Query Registry,2017
Suckfly,Valid Accounts,2017
HAFNIUM,Rundll32,2021
Mustang Panda,Obfuscated Files or Information,2021
Andariel,Exploitation for Client Execution,2021
DarkVishnya,Windows Service,2020
Lotus Blossom,Multi-hop Proxy,2025
Akira,Remote System Discovery,2024
Leviathan,Protocol Tunneling,2021
APT39,Spearphishing Link,2019
Malteiro,Credentials from Password Stores,2024
RedCurl,Obfuscated Files or Information,2024
APT33,Malicious Link,2018
Evilnum,Steal Web Session Cookie,2021
APT19,DLL,2018
Turla,Peripheral Device Discovery,2020
Indrik Spider,Email Accounts,2023
Scattered Spider,Systemd Service,2025
Medusa Group,Domain Groups,2025
RedEcho,Asymmetric Cryptography,2024
Dragonfly,Malicious File,2021
APT32,Exfiltration Over C2 Channel,2019
Darkhotel,Windows Command Shell,2019
BlackByte,Web Protocols,2024
Gamaredon Group,Malicious File,2020
Volt Typhoon,Deobfuscate/Decode Files or Information,2025
Molerats,Registry Run Keys / Startup Folder,2020
CURIUM,Exfiltration Over C2 Channel,2024
Patchwork,Visual Basic,2020
Wizard Spider,Local Data Staging,2023
menuPass,Scheduled Task,2017
Gamaredon Group,Data from Local System,2020
Gamaredon Group,LNK Icon Smuggling,2025
APT38,Tool,2021
APT28,Communication Through Removable Media,2017
MuddyWater,Standard Encoding,2020
APT39,File Deletion,2021
Kimsuky,Encrypted/Encoded File,2026
APT17,Web Services,2020
Ke3chang,System Information Discovery,2017
VOID MANTICORE,Audio Capture,2026
Kimsuky,Archive via Custom Method,2019
BRONZE BUTLER,System Time Discovery,2018
Sowbug,File and Directory Discovery,2018
Dragonfly,Compromise Software Supply Chain,2020
Axiom,Botnet,2022
UNC3886,File and Directory Discovery,2025
LAPSUS$,Exploitation for Privilege Escalation,2022
OilRig,Remote Desktop Protocol,2018
Scattered Spider,Domain Groups,2025
Windshift,System Information Discovery,2021
Indrik Spider,Clear Windows Event Logs,2021
Storm-0501,Remote Desktop Software,2025
Rocke,Web Protocols,2020
Lazarus Group,Spearphishing Link,2022
Ke3chang,System Network Connections Discovery,2017
Turla,Internal Proxy,2021
Kimsuky,LNK Icon Smuggling,2025
TeamTNT,Peripheral Device Discovery,2022
APT28,Bootkit,2017
FIN13,LSASS Memory,2023
APT39,Query Registry,2020
OilRig,PowerShell,2018
FIN8,Security Software Discovery,2018
Scattered Spider,Code Repositories,2024
FIN13,Deobfuscate/Decode Files or Information,2023
Higaisa,Protocol or Service Impersonation,2021
menuPass,Archive Collected Data,2019
Turla,JavaScript,2021
Tropic Trooper,Steganography,2020
MuddyWater,Malicious File,2018
Stealth Falcon,System Owner/User Discovery,2017
APT32,Exploitation for Client Execution,2019
VOID MANTICORE,Virtual Private Server,2026
Threat Group-3390,Bypass User Account Control,2018
Patchwork,Malicious File,2018
Threat Group-3390,DLL,2018
APT5,Archive via Utility,2024
Patchwork,Process Hollowing,2017
Gamaredon Group,VNC,2022
Velvet Ant,System Network Connections Discovery,2025
Stealth Falcon,Web Protocols,2017
RedCurl,Spearphishing Link,2024
Patchwork,Remote Desktop Protocol,2017
Threat Group-3390,Data Transfer Size Limits,2017
Stealth Falcon,Scheduled Task,2017
Magic Hound,Screen Capture,2018
Threat Group-3390,Valid Accounts,2017
Transparent Tribe,Encrypted/Encoded File,2021
WIRTE,Malicious File,2022
FIN13,Protocol Tunneling,2023
Earth Lusca,Malicious File,2022
Agrius,Brute Force,2024
APT41,File Transfer Protocols,2020
LAPSUS$,Purchase Technical Data,2022
Play,Ingress Tool Transfer,2024
LazyScripter,Spearphishing Attachment,2021
Scattered Spider,Credentials In Files,2024
Equation,Peripheral Device Discovery,2017
Stealth Falcon,Exfiltration Over C2 Channel,2017
Medusa Group,Email Accounts,2025
Rocke,Unix Shell,2020
Aoqin Dragon,Replication Through Removable Media,2022
MirrorFace,Malicious File,2026
Kimsuky,System Information Discovery,2019
Tropic Trooper,Asymmetric Cryptography,2019
MuddyWater,Domains,2026
VOID MANTICORE,Password Guessing,2026
Mustang Panda,Email Accounts,2022
Magic Hound,PowerShell,2018
TeamTNT,Private Keys,2021
WIRTE,Non-Standard Port,2022
Wizard Spider,Exfiltration to Cloud Storage,2023
Leviathan,Spearphishing Link,2018
Velvet Ant,Non-Standard Port,2025
Dragonfly,Exploitation of Remote Services,2021
FIN8,Token Impersonation/Theft,2021
Tropic Trooper,DNS,2020
Scattered Spider,Proxy,2025
TeamTNT,Web Protocols,2021
FIN10,Remote Desktop Protocol,2017
APT28,Domains,2020
menuPass,Windows Management Instrumentation,2017
Contagious Interview,Social Media Accounts,2025
APT33,Credentials from Web Browsers,2020
Kimsuky,Change Default File Association,2019
Storm-0501,Regsvr32,2025
PROMETHIUM,Digital Certificates,2020
Star Blizzard,Spearphishing Link,2024
OilRig,Asymmetric Cryptography,2018
TA577,JavaScript,2024
Lazarus Group,Mshta,2022
Volatile Cedar,Exploit Public-Facing Application,2021
TA2541,Spearphishing Link,2023
FIN7,Link Target,2025
ZIRCONIUM,Network Devices,2024
Kimsuky,Hidden Users,2022
Mustang Panda,Windows Management Instrumentation Event Subscription,2021
APT41,Lateral Tool Transfer,2024
Threat Group-3390,Local Data Staging,2017
Aquatic Panda,Data from Local System,2024
Blue Mockingbird,System Information Discovery,2020
Tropic Trooper,Automated Exfiltration,2020
Indrik Spider,Gather Victim Network Information,2024
Magic Hound,System Network Connections Discovery,2022
APT37,Bypass User Account Control,2019
Dark Caracal,Web Protocols,2018
LAPSUS$,Additional Cloud Roles,2022
Magic Hound,Email Addresses,2021
ZIRCONIUM,Ingress Tool Transfer,2021
Saint Bear,Impersonation,2024
Star Blizzard,Social Media Accounts,2024
BlackByte,Exfiltration Over Web Service,2024
MuddyWater,Spearphishing Link,2021
Sandworm Team,Keylogging,2020
Star Blizzard,Domains,2024
Threat Group-3390,Data from Local System,2017
APT41,Rundll32,2020
Wizard Spider,Exfiltration Over Unencrypted Non-C2 Protocol,2020
Ember Bear,Establish Accounts,2024
BlackTech,SSH,2022
LAPSUS$,Data from Local System,2022
Lotus Blossom,Archive via Utility,2025
APT33,Encrypted/Encoded File,2019
Ember Bear,External Defacement,2024
Aquatic Panda,Ingress Tool Transfer,2022
BlackByte,Process Injection,2024
Volt Typhoon,Permission Groups Discovery,2024
Ember Bear,Non-Standard Port,2024
TA505,Upload Malware,2022
Gallmaker,Spearphishing Attachment,2019
APT28,Credentials,2021
APT41,Remote System Discovery,2024
HEXANE,Software Discovery,2022
FIN7,Protocol Tunneling,2025
APT38,Mutual Exclusion,2025
IndigoZebra,Ingress Tool Transfer,2021
Contagious Interview,Artificial Intelligence,2025
Ember Bear,Password Spraying,2024
BITTER,Malicious File,2022
admin@338,System Network Configuration Discovery,2017
Contagious Interview,Keychain,2025
Scattered Spider,Account Discovery,2025
APT41,Credentials from Web Browsers,2024
APT38,Bypass User Account Control,2025
Lazarus Group,DLL,2022
APT41,Dynamic Linker Hijacking,2020
Malteiro,System Language Discovery,2024
MirrorFace,System Service Discovery,2026
APT19,Standard Encoding,2018
admin@338,Spearphishing Attachment,2019
APT41,Compromise Software Supply Chain,2019
Dragonfly,Clear Windows Event Logs,2021
GALLIUM,Indicator Removal from Tools,2019
Earth Lusca,Scheduled Task,2025
APT37,Command and Scripting Interpreter,2021
Medusa Group,Security Software Discovery,2025
APT38,System Information Discovery,2021
Axiom,Remote Desktop Protocol,2017
LazyScripter,Mshta,2021
APT39,AutoHotKey & AutoIT,2024
FIN8,PowerShell,2018
Earth Lusca,Tool,2022
Cobalt Group,Tool,2021
Lazarus Group,Code Signing,2022
UNC3886,Boot or Logon Initialization Scripts,2025
Moonstone Sleet,Malware,2024
Ember Bear,Security Account Manager,2024
Darkhotel,Registry Run Keys / Startup Folder,2017
APT42,PowerShell,2025
Storm-0501,Cloud Services,2025
Gamaredon Group,Process Injection,2025
Mustard Tempest,Malicious Link,2023
Scattered Spider,Domains,2025
APT29,Mshta,2022
Velvet Ant,Lateral Tool Transfer,2025
Lazarus Group,Timestomp,2017
Dragonfly,Archive Collected Data,2021
Moonstone Sleet,Compromise Software Supply Chain,2024
Indrik Spider,Query Registry,2024
OilRig,Windows Host Firewall,2024
Ember Bear,Pass the Hash,2024
Gorgon Group,Native API,2018
APT19,Web Protocols,2018
FIN7,Compromise Software Supply Chain,2023
Turla,Group Policy Discovery,2021
Sandworm Team,NTDS,2023
Wizard Spider,Exfiltration Over C2 Channel,2020
Sandworm Team,Bidirectional Communication,2020
Mustard Tempest,Drive-by Compromise,2024
Sidewinder,Process Discovery,2021
Storm-1811,Remote Desktop Software,2025
TA505,Tool,2022
Kimsuky,System Checks,2026
Gorgon Group,Visual Basic,2018
HAFNIUM,Sharepoint,2025
Contagious Interview,File Deletion,2025
Molerats,Credentials from Web Browsers,2017
MuddyWater,Exploit Public-Facing Application,2022
Nomadic Octopus,PowerShell,2021
Medusa Group,Upload Tool,2025
Sea Turtle,Web Shell,2024
Dragonfly,Business Relationships,2021
APT39,BITS Jobs,2020
VOID MANTICORE,Hidden Window,2026
Kimsuky,Query Public AI Services,2025
Deep Panda,Windows Management Instrumentation,2017
Dragonfly,Local Account,2021
APT37,Python,2021
Magic Hound,Email Collection,2021
Naikon,Remote System Discovery,2021
SideCopy,Security Software Discovery,2022
TA459,PowerShell,2018
APT28,Automated Collection,2018
PLATINUM,Non-Application Layer Protocol,2018
Darkhotel,Process Discovery,2019
APT1,Local Email Collection,2017
menuPass,Process Hollowing,2018
Chimera,Service Execution,2021
Salt Typhoon,Clear Linux or Mac System Logs,2025
HAFNIUM,Standard Encoding,2021
Medusa Group,Hidden Window,2025
Andariel,Malware,2021
Play,Exfiltration Over Alternative Protocol,2024
LuminousMoth,Archive Collected Data,2023
APT39,Exfiltration Over C2 Channel,2020
APT28,Spearphishing Link,2022
Molerats,Deobfuscate/Decode Files or Information,2020
BackdoorDiplomacy,Dynamic-link Library Injection,2021
Gamaredon Group,Upload Malware,2022
APT29,Accessibility Features,2017
Moses Staff,Local Account,2022
Scattered Spider,Password Managers,2025
Dragonfly,Python,2021
EXOTIC LILY,Exploitation for Client Execution,2022
VOID MANTICORE,External Remote Services,2026
Tropic Trooper,Local Accounts,2020
GALLIUM,External Proxy,2019
BlackByte,Exploit Public-Facing Application,2024
Storm-0501,Cloud Service Discovery,2025
Ke3chang,Automated Collection,2022
Dragonfly,Domain Account,2021
Patchwork,Binary Padding,2018
APT39,Screen Capture,2020
Tonto Team,Ingress Tool Transfer,2021
Cobalt Group,Visual Basic,2018
Dragonfly,File Transfer Protocols,2021
FIN10,Local Accounts,2020
SideCopy,Native API,2022
BlackByte,Network Service Discovery,2024
APT28,Web Protocols,2020
APT42,Web Service,2025
Turla,Lateral Tool Transfer,2020
APT29,HTML Smuggling,2022
Moonstone Sleet,System Owner/User Discovery,2024
menuPass,SSH,2017
Rocke,Dynamic Linker Hijacking,2020
Chimera,External Remote Services,2020
Lazarus Group,Indirect Command Execution,2022
TA505,Permission Groups Discovery,2020
APT39,Internal Proxy,2019
APT39,Encrypted/Encoded File,2021
Saint Bear,Command and Scripting Interpreter,2024
Blue Mockingbird,Remote Desktop Protocol,2020
Storm-1811,Email Bombing,2025
Elderwood,Exploitation for Client Execution,2018
APT28,Junk Data,2017
MuddyWater,Windows Command Shell,2019
Elderwood,Spearphishing Link,2018
Threat Group-3390,System Network Connections Discovery,2017
TeamTNT,Remote Access Tools,2021
LuminousMoth,Web Protocols,2023
Naikon,Registry Run Keys / Startup Folder,2021
Cobalt Group,Security Software Discovery,2019
Volt Typhoon,Exploit Public-Facing Application,2023
APT28,Exploitation of Remote Services,2018
MuddyWater,Web Services,2021
Ember Bear,External Remote Services,2024
Tonto Team,Local Groups,2021
Kimsuky,Exfiltration to Cloud Storage,2022
Ember Bear,Vulnerability Scanning,2024
APT39,Code Signing Policy Modification,2021
Lazarus Group,Digital Certificates,2021
BRONZE BUTLER,Drive-by Compromise,2018
Mustang Panda,Log Enumeration,2025
HEXANE,Scheduled Task,2022
Kimsuky,Email Addresses,2021
Malteiro,Spearphishing Attachment,2024
UNC3886,Hypervisor CLI,2025
FIN7,Input Injection,2025
Aquatic Panda,Modify Registry,2024
APT5,Domain Accounts,2024
Threat Group-3390,Malicious File,2021
FIN13,Malware,2023
VOID MANTICORE,Automated Collection,2026
Confucius,Automated Collection,2021
HAFNIUM,Password Spraying,2025
PROMETHIUM,Registry Run Keys / Startup Folder,2020
APT29,Device Registration,2023
APT28,Wi-Fi Networks,2025
FIN6,Domain Account,2017
TA505,Data Encrypted for Impact,2019
SilverTerrier,File Transfer Protocols,2020
APT41,Compiled HTML File,2019
Contagious Interview,Social Media,2025
LazyScripter,PowerShell,2021
APT3,Windows Service,2018
Leafminer,File and Directory Discovery,2018
Cobalt Group,Asymmetric Cryptography,2018
Silence,Malicious File,2019
FIN4,Multi-hop Proxy,2019
BlackTech,Code Signing Certificates,2022
Magic Hound,Additional Email Delegate Permissions,2020
Patchwork,Code Signing Certificates,2020
Silence,Code Signing,2020
Chimera,Domain Accounts,2021
FIN7,Spearphishing Attachment,2018
Play,Tool,2024
Indrik Spider,Modify Registry,2024
VOID MANTICORE,Inhibit System Recovery,2026
BRONZE BUTLER,Python,2020
Volt Typhoon,Windows Command Shell,2023
Ke3chang,System Service Discovery,2017
Sidewinder,Registry Run Keys / Startup Folder,2021
APT41,Boot or Logon Initialization Scripts,2024
Star Blizzard,Tool,2024
Cleaver,ARP Cache Poisoning,2020
Threat Group-3390,Spearphishing Attachment,2021
Moses Staff,System Network Configuration Discovery,2022
Storm-0501,Domain Trust Discovery,2025
Patchwork,Drive-by Compromise,2018
Cobalt Group,Windows Command Shell,2020
IndigoZebra,Malicious File,2021
VOID MANTICORE,Credentials in Registry,2026
Kimsuky,Mshta,2019
RedCurl,Credentials in Registry,2024
OilRig,Email Accounts,2024
Turla,Dynamic-link Library Injection,2020
SideCopy,Match Legitimate Resource Name or Location,2022
FIN8,Internet Connection Discovery,2023
Saint Bear,Modify Registry,2024
APT29,Valid Accounts,2023
Fox Kitten,Exploitation of Remote Services,2020
Wizard Spider,Code Signing Certificates,2020
APT32,Credentials in Registry,2020
Ember Bear,Network Service Discovery,2024
FIN6,JavaScript,2020
Blue Mockingbird,Match Legitimate Resource Name or Location,2020
APT1,Remote Email Collection,2020
Scattered Spider,Spearphishing Link,2025
Moonstone Sleet,Upload Malware,2024
Volt Typhoon,Software Packing,2024
MirrorFace,Domain Trust Discovery,2026
FIN8,File Deletion,2018
APT37,Obfuscated Files or Information,2018
Ke3chang,Security Account Manager,2020
Wizard Spider,Malicious File,2020
APT3,Ingress Tool Transfer,2018
RedCurl,LSASS Memory,2024
Scattered Spider,User Execution,2024
APT32,System Network Connections Discovery,2019
Cobalt Group,Remote Desktop Protocol,2018
LuminousMoth,Malicious Link,2023
Dragonfly,Exploit Public-Facing Application,2021
Sandworm Team,Lateral Tool Transfer,2021
Medusa Group,Exploit Public-Facing Application,2025
APT19,Hidden Window,2019
VOID MANTICORE,Remote Desktop Software,2026
Magic Hound,Credentials,2021
Kimsuky,Data from Local System,2019
Axiom,RDP Hijacking,2022
TA459,Spearphishing Attachment,2018
APT32,Visual Basic,2020
Turla,Fileless Storage,2019
ToddyCat,Native API,2024
TA505,Visual Basic,2019
MirrorFace,Spearphishing Attachment,2026
Sandworm Team,Email Accounts,2020
APT-C-36,Junk Code Insertion,2026
Volt Typhoon,Local Data Staging,2023
TeamTNT,Encrypted/Encoded File,2021
Salt Typhoon,Exfiltration Over Unencrypted Non-C2 Protocol,2025
TA2541,Tool,2023
Gamaredon Group,System Information Discovery,2017
Volt Typhoon,Peripheral Device Discovery,2024
Volt Typhoon,Application Window Discovery,2024
TA459,Exploitation for Client Execution,2018
Storm-0501,Masquerade Task or Service,2025
Threat Group-3390,Compression,2025
APT18,Encrypted/Encoded File,2019
APT32,Fileless Storage,2023
OilRig,Web Protocols,2018
Threat Group-3390,System Network Configuration Discovery,2017
Dragonfly,External Remote Services,2021
Sea Turtle,Valid Accounts,2024
OilRig,File Deletion,2018
APT38,System Owner/User Discovery,2021
Medusa Group,Financial Theft,2025
TA505,JavaScript,2020
Play,Malware,2024
Patchwork,Exploitation for Client Execution,2018
Scattered Spider,File and Directory Discovery,2024
APT1,Spearphishing Link,2020
APT33,LSA Secrets,2020
GALLIUM,External Remote Services,2019
APT39,Valid Accounts,2019
SideCopy,Mshta,2022
Magic Hound,Software,2023
FIN6,Access Token Manipulation,2020
APT5,Cron,2024
Inception,Exploitation for Client Execution,2020
MuddyWater,Compile After Delivery,2019
APT28,Replication Through Removable Media,2017
Cinnamon Tempest,Domain Accounts,2023
Rocke,Disable or Modify Tools,2020
Magic Hound,Data from Local System,2022
Cinnamon Tempest,Windows Management Instrumentation,2023
APT28,Token Impersonation/Theft,2017
Ember Bear,Virtual Private Server,2024
HAFNIUM,Client Configurations,2021
Scattered Spider,Trust Modification,2024
Scattered Spider,Exfiltration Over C2 Channel,2025
BRONZE BUTLER,Tool,2021
Magic Hound,Email Accounts,2021
Malteiro,Deobfuscate/Decode Files or Information,2024
GALLIUM,Remote System Discovery,2019
Scattered Spider,SSH,2025
FIN13,Match Legitimate Resource Name or Location,2023
Wizard Spider,PowerShell,2020
Wizard Spider,Name Resolution Poisoning and SMB Relay,2020
FIN4,Spearphishing Link,2019
Elderwood,Encrypted/Encoded File,2018
Dragonfly,Security Account Manager,2021
HAFNIUM,Cloud Secrets Management Stores,2025
BackdoorDiplomacy,Ingress Tool Transfer,2021
Inception,System Information Discovery,2020
VOID MANTICORE,Match Legitimate Resource Name or Location,2026
Kimsuky,Steal Web Session Cookie,2025
ZIRCONIUM,Registry Run Keys / Startup Folder,2021
Lazarus Group,Disk Structure Wipe,2019
ZIRCONIUM,Multi-hop Proxy,2024
UNC3886,Archive via Custom Method,2025
Lazarus Group,Disable or Modify Tools,2017
Kimsuky,Private Keys,2026
APT5,LSASS Memory,2024
Threat Group-3390,Remote Data Staging,2020
APT29,Exploitation for Client Execution,2018
Lotus Blossom,Internet Connection Discovery,2025
Rocke,Portable Executable Injection,2020
Storm-1811,Impersonation,2025
FIN13,Web Shell,2023
menuPass,Remote Data Staging,2020
Kimsuky,Remote Email Collection,2022
FIN13,Credentials In Files,2023
VOID MANTICORE,Selective Exclusion,2026
Gorgon Group,Process Hollowing,2018
FIN7,Web Services,2023
Rancor,Windows Management Instrumentation Event Subscription,2024
HAFNIUM,Data from Local System,2023
Evilnum,File Deletion,2021
Mustang Panda,Adversary-in-the-Middle,2025
Gamaredon Group,Visual Basic,2020
Mustang Panda,Replication Through Removable Media,2021
Blue Mockingbird,Compute Hijacking,2020
Higaisa,Spearphishing Attachment,2021
Contagious Interview,Mail Protocols,2025
UNC3886,Digital Certificates,2025
APT5,Local Account,2024
Aquatic Panda,System Owner/User Discovery,2024
APT33,Visual Basic,2020
Patchwork,BITS Jobs,2020
APT33,Valid Accounts,2018
LAPSUS$,Multi-Factor Authentication Request Generation,2022
Sea Turtle,Local Accounts,2024
APT29,Scheduled Task,2017
OilRig,Command and Scripting Interpreter,2018
APT28,Registry Run Keys / Startup Folder,2021
TeamTNT,External Remote Services,2021
Indrik Spider,Data Encrypted for Impact,2021
Aquatic Panda,Clear Windows Event Logs,2024
APT38,Clipboard Data,2019
VOID MANTICORE,PowerShell,2026
CopyKittens,Proxy,2022
VOID MANTICORE,Valid Accounts,2026
TeamTNT,Unix Shell,2021
APT28,Network Sniffing,2018
Leviathan,Exploit Public-Facing Application,2025
DarkVishnya,Tool,2021
Mustang Panda,Deobfuscate/Decode Files or Information,2025
Leviathan,SSH,2019
Confucius,Exfiltration Over C2 Channel,2021
Contagious Interview,Masquerading,2025
Scattered Spider,Direct Volume Access,2024
Threat Group-3390,PowerShell,2017
RedCurl,Local Account,2024
Chimera,Remote Desktop Protocol,2020
Scattered Spider,Remote System Discovery,2024
FIN6,Asymmetric Cryptography,2017
Lazarus Group,Deobfuscate/Decode Files or Information,2022
APT29,LSA Secrets,2023
HEXANE,DNS Server,2022
RedCurl,Symmetric Cryptography,2024
Kimsuky,Web Portal Capture,2026
The White Company,File Deletion,2019
Volt Typhoon,System Checks,2023
Chimera,Exfiltration to Cloud Storage,2021
Sidewinder,Security Software Discovery,2021
Indrik Spider,Credentials In Files,2024
TA577,Windows Command Shell,2024
Leafminer,Remote Email Collection,2018
Winter Vivern,Masquerade Task or Service,2024
HEXANE,Email Accounts,2022
TA505,Email Account,2020
Kimsuky,Browser Extensions,2019
Darkhotel,Malicious File,2019
Axiom,Drive-by Compromise,2022
Play,Domain Accounts,2024
SilverTerrier,Mail Protocols,2019
FIN6,Windows Management Instrumentation,2019
Akira,Domain Trust Discovery,2024
VOID MANTICORE,Data Staged,2026
Akira,Sharepoint,2024
Cinnamon Tempest,Python,2023
VOID MANTICORE,Sharepoint,2026
Turla,SMB/Windows Admin Shares,2017
TA2541,Dynamic Resolution,2023
Medusa Group,System Owner/User Discovery,2025
SideCopy,System Location Discovery,2022
BlackByte,Windows Service,2024
MuddyWater,System Network Connections Discovery,2021
Magic Hound,Social Media Accounts,2021
INC Ransom,Data Staged,2024
APT28,Bidirectional Communication,2021
Chimera,Lateral Tool Transfer,2021
Kimsuky,Process Discovery,2022
FIN6,Code Signing,2019
Lazarus Group,Valid Accounts,2022
Mustang Panda,System Information Discovery,2021
Dark Caracal,Registry Run Keys / Startup Folder,2018
VOID MANTICORE,Screen Capture,2026
Tropic Trooper,Hidden Files and Directories,2019
TA459,Visual Basic,2018
Tonto Team,Network Share Discovery,2021
Tropic Trooper,Malicious File,2020
APT41,Windows Service,2019
ZIRCONIUM,Domains,2021
Lazarus Group,Web Protocols,2018
Evilnum,JavaScript,2021
Storm-0501,OS Credential Dumping,2025
BRONZE BUTLER,Ingress Tool Transfer,2018
Sandworm Team,Rundll32,2020
BlackByte,SMB/Windows Admin Shares,2024
Threat Group-3390,Trusted Relationship,2021
Volt Typhoon,Software Discovery,2023
MirrorFace,DLL,2026
Lazarus Group,Multi-Stage Channels,2022
MirrorFace,Process Discovery,2026
BlackByte,Remote System Discovery,2024
OilRig,Code Signing,2024
Aoqin Dragon,Malicious File,2022
Stealth Falcon,Credentials from Web Browsers,2020
FIN7,Malware,2020
Saint Bear,Disable or Modify Tools,2024
Gamaredon Group,Spearphishing Attachment,2020
Daggerfly,Web Protocols,2024
FIN8,Domain Trust Discovery,2021
MuddyWater,PowerShell,2018
Darkhotel,Code Signing,2017
Earth Lusca,Python,2022
Storm-0501,Conditional Access Policies,2025
APT37,Ingress Tool Transfer,2018
Gamaredon Group,Bidirectional Communication,2025
APT-C-36,DLL,2026
Winter Vivern,Ingress Tool Transfer,2024
Axiom,OS Credential Dumping,2017
Gamaredon Group,Screen Capture,2020
APT32,Malicious Link,2020
HEXANE,Keylogging,2022
Play,Process Discovery,2024
BlackTech,DLL,2021
Gamaredon Group,Process Discovery,2022
Andariel,Drive-by Compromise,2021
Cobalt Group,Windows Service,2018
APT38,Keylogging,2019
UNC3886,Abuse Elevation Control Mechanism,2025
Contagious Interview,File and Directory Discovery,2025
MoustachedBouncer,Screen Capture,2023
Scattered Spider,Email Hiding Rules,2024
menuPass,DLL,2017
PLATINUM,Keylogging,2018
Saint Bear,Email Addresses,2024
APT41,Domain Account,2024
Scattered Spider,System Information Discovery,2025
APT28,Exfiltration Over Web Service,2021
APT32,Hidden Files and Directories,2019
Sandworm Team,Obfuscated Files or Information,2020
LuminousMoth,Steal Web Session Cookie,2023
