technique,threat_score,defence_score,gap_score,priority,total_groups,has_defence,available_defences,is_emerging,convergence_alerts
Modify Registry,0.128,0.333,0.028,Low,29,True,Restrict Registry Permissions,False,8
Software Packing,0.127,0.333,0.027,Low,23,True,Antivirus/Antimalware,False,8
Unix Shell,0.127,0.333,0.027,Low,10,True,Execution Prevention,True,3
Compute Hijacking,0.023,0.0,0.023,Low,4,False,No mapped defence,False,2
Clipboard Data,0.02,0.0,0.02,Low,4,False,No mapped defence,False,0
Rootkit,0.02,0.0,0.02,Low,6,False,No mapped defence,False,2
Video Capture,0.02,0.0,0.02,Low,4,False,No mapped defence,False,0
Ignore Process Interrupts,0.017,0.0,0.017,Low,3,False,No mapped defence,False,1
Web Services,0.116,0.333,0.016,Low,28,True,Pre-compromise,False,6
Application Window Discovery,0.015,0.0,0.015,Low,3,False,No mapped defence,False,0
Automated Exfiltration,0.015,0.0,0.015,Low,7,False,No mapped defence,False,3
Dynamic API Resolution,0.015,0.0,0.015,Low,3,False,No mapped defence,False,0
Virtualization/Sandbox Evasion,0.015,0.0,0.015,Low,3,False,No mapped defence,False,0
Network Share Discovery,0.114,0.333,0.014,Low,16,True,Operating System Configuration,False,6
DLL,0.312,1.0,0.012,Low,35,True,Application Developer Guidance | Audit | Execution Prevention | Restrict Library Loading | Update Software,True,10
System Language Discovery,0.011,0.0,0.011,Low,5,False,No mapped defence,False,2
Account Access Removal,0.01,0.0,0.01,Low,2,False,No mapped defence,False,0
Archive via Library,0.01,0.0,0.01,Low,2,False,No mapped defence,False,0
Audio Capture,0.01,0.0,0.01,Low,2,False,No mapped defence,False,0
Delay Execution,0.01,0.0,0.01,Low,2,False,No mapped defence,False,0
Hidden File System,0.01,0.0,0.01,Low,2,False,No mapped defence,False,0
Hide Infrastructure,0.01,0.0,0.01,Low,2,False,No mapped defence,False,0
Indirect Command Execution,0.01,0.0,0.01,Low,2,False,No mapped defence,False,0
System Location Discovery,0.01,0.0,0.01,Low,2,False,No mapped defence,False,0
User Activity Based Checks,0.01,0.0,0.01,Low,2,False,No mapped defence,False,0
Backup Software Discovery,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
Boot or Logon Autostart Execution,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
Change Default File Association,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
Cloud Service Discovery,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
Component Object Model Hijacking,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
Credential API Hooking,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
DNS Calculation,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
Debugger Evasion,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
Device Driver Discovery,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
Group Policy Discovery,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
Hypervisor CLI,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
Indicator Removal from Tools,0.005,0.0,0.005,Low,7,False,No mapped defence,False,2
Network Share Connection Removal,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
Selective Exclusion,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
Space after Filename,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
Virtual Machine Discovery,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
