technique,avg_velocity,max_velocity,peak_year,peak_groups,total_groups,years_tracked,spread_rate
Virtual Private Server,-0.5,3.5,2024,9,18,6,3.0
Visual Basic,-0.5,11.0,2020,16,46,9,5.11
File and Directory Discovery,-0.556,4.0,2021,8,51,10,5.1
Remote Desktop Protocol,-0.556,7.0,2024,8,37,10,3.7
System Information Discovery,-0.556,5.0,2024,9,57,10,5.7
Deobfuscate/Decode Files or Information,-0.571,3.0,2018,9,38,8,4.75
Hidden Window,-0.6,1.0,2019,9,18,6,3.0
Command Obfuscation,-0.625,6.0,2023,8,29,9,3.22
Keylogging,-0.625,1.0,2017,6,26,9,2.89
Scheduled Task,-0.625,5.0,2020,10,54,9,6.0
Accessibility Features,-0.667,0.0,2017,3,6,4,1.5
File Deletion,-0.667,4.0,2018,9,47,10,4.7
Financial Theft,-0.667,3.0,2024,6,15,4,3.75
Ingress Tool Transfer,-0.667,8.0,2021,20,86,10,8.6
NTDS,-0.667,1.0,2020,5,18,7,2.57
Software Discovery,-0.667,2.0,2021,5,11,4,2.75
LSA Secrets,-0.833,1.667,2020,6,10,5,2.0
Spearphishing Link,-0.875,4.0,2021,13,53,9,5.89
Process Discovery,-0.889,5.0,2017,9,41,10,4.1
System Network Configuration Discovery,-0.889,5.0,2017,9,43,10,4.3
Valid Accounts,-0.889,6.0,2017,9,45,10,4.5
Windows Command Shell,-0.889,7.0,2024,11,73,10,7.3
At,-1.0,-1.0,2017,2,3,2,1.5
Compression,-1.0,1.0,2025,6,10,3,3.33
Embedded Payloads,-1.0,-1.0,2024,2,3,2,1.5
File Transfer Protocols,-1.0,0.0,2020,3,5,3,1.67
Multi-Factor Authentication Request Generation,-1.0,-1.0,2022,2,3,2,1.5
Transfer Data to Cloud Account,-1.0,-1.0,2024,2,3,2,1.5
Malicious Link,-1.071,7.5,2020,17,49,8,6.12
Exploitation for Client Execution,-1.083,6.0,2021,10,41,7,5.86
PowerShell,-1.111,6.0,2018,15,85,10,8.5
Dynamic Data Exchange,-1.167,-0.5,2018,5,11,4,2.75
Non-Standard Port,-1.25,1.0,2020,10,17,5,3.4
Steganography,-1.333,0.0,2020,5,10,4,2.5
Drive-by Compromise,-1.4,3.0,2018,11,31,6,5.17
Shortcut Modification,-2.0,-2.0,2018,3,4,2,2.0
Spearphishing Attachment,-2.429,6.0,2018,21,78,8,9.75
Malicious File,-2.5,8.0,2018,22,86,9,9.56
Credentials,-3.0,-3.0,2021,4,5,2,2.5
Acquire Infrastructure,-6.0,-6.0,2024,7,8,2,4.0
