technique,first_seen,last_seen,lifespan_years,active_years,total_groups,persistence_score,status
Phishing for Information,2021,2024,3,3,5,0.345,Active
Traffic Signaling,2025,2025,0,1,3,0.345,Active
External Defacement,2020,2024,4,2,2,0.34,Active
Fileless Storage,2019,2023,4,2,2,0.34,Active
Clear Mailbox Data,2025,2025,0,1,2,0.33,Active
Cloud Secrets Management Stores,2025,2025,0,1,2,0.33,Active
Email Collection,2021,2024,3,2,4,0.33,Active
Encrypted Channel,2020,2023,3,3,4,0.33,Active
Search Open Technical Databases,2025,2025,0,1,2,0.33,Active
Search Threat Vendor Data,2025,2025,0,1,2,0.33,Active
Dynamic Data Exchange,2018,2022,4,4,11,0.325,Retired
Abuse Elevation Control Mechanism,2025,2025,0,1,1,0.315,Active
Acquire Access,2025,2025,0,1,1,0.315,Active
Additional Cloud Credentials,2025,2025,0,1,1,0.315,Active
Additional Email Delegate Permissions,2020,2023,3,3,3,0.315,Active
Boot or Logon Autostart Execution,2025,2025,0,1,1,0.315,Active
Browser Session Hijacking,2025,2025,0,1,1,0.315,Active
Cloud Service Discovery,2025,2025,0,1,1,0.315,Active
Container CLI/API,2025,2025,0,1,1,0.315,Active
Data Encoding,2025,2025,0,1,1,0.315,Active
Debugger Evasion,2025,2025,0,1,1,0.315,Active
Device Driver Discovery,2025,2025,0,1,1,0.315,Active
ESXi Administration Command,2025,2025,0,1,1,0.315,Active
Email Bombing,2025,2025,0,1,1,0.315,Active
Executable Installer File Permissions Weakness,2025,2025,0,1,1,0.315,Active
Exploitation for Credential Access,2025,2025,0,1,1,0.315,Active
Gather Victim Network Information,2021,2024,3,2,3,0.315,Active
Hypervisor CLI,2025,2025,0,1,1,0.315,Active
IDE Extensions,2025,2025,0,1,1,0.315,Active
IDE Tunneling,2025,2025,0,1,1,0.315,Active
Input Injection,2025,2025,0,1,1,0.315,Active
Keychain,2025,2025,0,1,1,0.315,Active
Launch Agent,2025,2025,0,1,1,0.315,Active
MMC,2025,2025,0,1,1,0.315,Active
Malicious Library,2025,2025,0,1,1,0.315,Active
Network Device Configuration Dump,2025,2025,0,1,1,0.315,Active
Network Device Firewall,2025,2025,0,1,1,0.315,Active
Non-Standard Encoding,2026,2026,0,1,1,0.315,Active
Selective Exclusion,2026,2026,0,1,1,0.315,Active
Shared Modules,2025,2025,0,1,1,0.315,Active
Software,2020,2023,3,3,3,0.315,Active
Space after Filename,2025,2025,0,1,1,0.315,Active
Unix Shell Configuration Modification,2025,2025,0,1,1,0.315,Active
Virtual Machine Discovery,2025,2025,0,1,1,0.315,Active
Wi-Fi Networks,2025,2025,0,1,1,0.315,Active
XDG Autostart Entries,2025,2025,0,1,1,0.315,Active
vSphere Installation Bundles,2025,2025,0,1,1,0.315,Active
ARP Cache Poisoning,2020,2023,3,2,2,0.3,Active
Group Policy Preferences,2020,2023,3,2,2,0.3,Active
Scanning IP Blocks,2021,2024,3,2,2,0.3,Active
IP Addresses,2021,2023,2,2,3,0.275,Active
Account Access Removal,2022,2024,2,2,2,0.26,Active
Create Cloud Instance,2022,2024,2,2,2,0.26,Active
Exfiltration Over Alternative Protocol,2022,2024,2,2,2,0.26,Active
